run_id,variant_id,sl,activation,distance,cost_scenario,period,trades,net_points,profit_factor,expectancy
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,0,52.5,57.5,22.5,BASE,DEVELOPMENT,88,85.20999999999822,1.0770357378560889,0.9682954545454343
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,0,52.5,57.5,22.5,BASE,VALIDATION,51,930.7599999999993,2.1887556355926807,18.250196078431358
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,0,52.5,57.5,22.5,BASE,LOCKED_OOS,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,0,52.5,57.5,22.5,BASE,H1,139,1015.9699999999975,1.537812056662502,7.309136690647464
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,0,52.5,57.5,22.5,BASE,H2,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,0,52.5,57.5,22.5,BASE,ALL,204,1638.7799999999952,1.5773259070588348,8.033235294117624
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,1,52.5,57.5,22.5,SPREAD_PLUS_25,DEVELOPMENT,88,85.20999999999822,1.0770357378560889,0.9682954545454343
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,1,52.5,57.5,22.5,SPREAD_PLUS_25,VALIDATION,51,930.7599999999993,2.1887556355926807,18.250196078431358
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,1,52.5,57.5,22.5,SPREAD_PLUS_25,LOCKED_OOS,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,1,52.5,57.5,22.5,SPREAD_PLUS_25,H1,139,1015.9699999999975,1.537812056662502,7.309136690647464
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,1,52.5,57.5,22.5,SPREAD_PLUS_25,H2,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,1,52.5,57.5,22.5,SPREAD_PLUS_25,ALL,204,1638.7799999999952,1.5773259070588348,8.033235294117624
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,2,52.5,57.5,22.5,SPREAD_PLUS_50,DEVELOPMENT,88,85.20999999999822,1.0770357378560889,0.9682954545454343
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,2,52.5,57.5,22.5,SPREAD_PLUS_50,VALIDATION,51,930.7599999999993,2.1887556355926807,18.250196078431358
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,2,52.5,57.5,22.5,SPREAD_PLUS_50,LOCKED_OOS,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,2,52.5,57.5,22.5,SPREAD_PLUS_50,H1,139,1015.9699999999975,1.537812056662502,7.309136690647464
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,2,52.5,57.5,22.5,SPREAD_PLUS_50,H2,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,2,52.5,57.5,22.5,SPREAD_PLUS_50,ALL,204,1638.7799999999952,1.5773259070588348,8.033235294117624
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,3,52.5,57.5,22.5,SLIPPAGE_BASE,DEVELOPMENT,88,85.20999999999822,1.0770357378560889,0.9682954545454343
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,3,52.5,57.5,22.5,SLIPPAGE_BASE,VALIDATION,51,930.7599999999993,2.1887556355926807,18.250196078431358
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,3,52.5,57.5,22.5,SLIPPAGE_BASE,LOCKED_OOS,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,3,52.5,57.5,22.5,SLIPPAGE_BASE,H1,139,1015.9699999999975,1.537812056662502,7.309136690647464
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,3,52.5,57.5,22.5,SLIPPAGE_BASE,H2,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,3,52.5,57.5,22.5,SLIPPAGE_BASE,ALL,204,1638.7799999999952,1.5773259070588348,8.033235294117624
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,4,52.5,57.5,22.5,COMMISSION_PLUS_25,DEVELOPMENT,88,85.20999999999822,1.0770357378560889,0.9682954545454343
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,4,52.5,57.5,22.5,COMMISSION_PLUS_25,VALIDATION,51,930.7599999999993,2.1887556355926807,18.250196078431358
