signal_id,run_id,signal_bar_time,entry_time,entry_mode,direction,entry_bid,entry_ask,signal_open,signal_high,signal_low,signal_close,atr,cloud_bull,supertrend_dir,supertrend_line,qqe_blue,qqe_red,regime_age_bars
1,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.08.12 16:00:00,2025.08.12 16:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,24177.25,24177.75,24165.75,24181.5,24144.5,24177.75,59.91725979862254,True,1,23983.24822060413,True,False,8
2,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.08.14 01:00:00,2025.08.14 01:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,24222.75,24223.75,24230.25,24234.25,24219.5,24224.25,27.844061650270383,False,-1,24310.40718495081,False,True,21
3,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.08.22 14:00:00,2025.08.22 14:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,23854.5,23855.0,23567.0,23931.25,23567.0,23854.75,73.80872242354708,True,1,23527.69883272936,True,False,13
4,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.08.28 00:30:00,2025.08.28 01:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,23818.75,23819.75,23791.0,23822.0,23786.25,23819.25,48.15421490962829,False,-1,23948.587644728887,False,True,6
5,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.08.28 17:00:00,2025.08.28 17:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,24059.25,24059.75,24030.5,24060.0,24020.5,24060.0,54.96545166725808,True,1,23875.353644998228,True,False,19
6,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.08.29 14:30:00,2025.08.29 15:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,23731.25,23732.0,23796.5,23813.75,23713.5,23732.5,54.14211705777691,False,-1,23926.05135117333,False,True,14
7,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.09.02 23:30:00,2025.09.03 00:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,23632.0,23632.5,23636.5,23642.0,23625.5,23632.25,52.81590212196528,True,1,23475.302293634104,True,False,18
8,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.09.05 15:30:00,2025.09.05 16:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,23916.25,23917.0,23930.25,23967.25,23902.0,23917.25,69.33466653486381,False,-1,24079.24055511621,False,True,4
9,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.09.09 03:00:00,2025.09.09 03:30:02,FIRST_ALTERNATING_TRIANGLE,BUY,24134.5,24135.25,24126.25,24136.75,24124.5,24134.75,24.02127876041212,True,1,24060.6615405296,True,False,57
10,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.09.10 09:00:00,2025.09.10 09:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,24186.5,24187.25,24194.25,24199.0,24180.5,24186.75,19.2407429295114,False,-1,24247.47222878853,False,True,1
