trade_id,run_id,branch_id,entry_model,stop_mode,exit_mode,direction,signal_time,entry_time,entry_time_msc,entry_bid,entry_ask,entry_price,initial_stop,final_active_stop,risk_points,exit_time,exit_time_msc,exit_bid,exit_ask,exit_price,exit_reason,points,ticks,gross_usd,cost_usd,net_usd,r_multiple,duration_seconds,mae_points,mfe_points,be_applied,lock_applied,entry_atr,equity_usd,peak_equity_usd,drawdown_usd,drawdown_pct_of_initial_risk_bank
5,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2025.08.12 16:00:00,2025.08.12 16:30:00,1755016200025,24177.25,24177.75,24177.75,23977.75,23977.75,200.0,2025.08.14 01:30:00,1755135000464,24222.75,24223.75,24222.75,OPPOSITE_TRIANGLE,45.0,180.0,90.0,1.2,88.8,0.225,118800,5.0,188.5,False,False,59.91725979862254,88.8,88.8,0.0,
20,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2025.08.14 01:00:00,2025.08.14 01:30:00,1755135000464,24222.75,24223.75,24222.75,24422.75,23583.5,200.0,2025.08.20 16:26:19,1755707179858,23583.0,23583.5,23583.5,MFE_GIVEBACK_STOP,639.25,2557.0,1278.5,1.2,1277.3,3.19625,572179,83.25,889.25,False,True,27.844061650270383,1366.1,1366.1,0.0,
35,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2025.08.22 14:00:00,2025.08.22 14:30:00,1755873000031,23854.5,23855.0,23855.0,23655.0,23655.0,200.0,2025.08.28 01:00:00,1756342800616,23818.75,23819.75,23818.75,OPPOSITE_TRIANGLE,-36.25,-145.0,-72.5,1.2,-73.7,-0.18125,469800,185.75,130.25,False,False,73.80872242354708,1292.3999999999999,1366.1,73.70000000000005,
50,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2025.08.28 00:30:00,2025.08.28 01:00:00,1756342800616,23818.75,23819.75,23818.75,24018.75,24018.75,200.0,2025.08.28 13:31:05,1756387865456,24018.0,24018.75,24018.75,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,45065,200.0,2.0,False,False,48.15421490962829,891.1999999999998,1366.1,474.9000000000001,
65,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2025.08.28 17:00:00,2025.08.28 17:30:00,1756402200006,24059.25,24059.75,24059.75,23859.75,23859.75,200.0,2025.08.29 13:46:01,1756475161848,23851.75,23852.75,23859.75,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,72961,208.0,40.75,False,False,54.96545166725808,489.99999999999983,1366.1,876.1000000000001,
80,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2025.08.29 14:30:00,2025.08.29 15:00:00,1756479600057,23731.25,23732.0,23731.25,23931.25,23481.5,200.0,2025.09.02 13:46:22,1756820782738,23480.75,23481.5,23481.5,MFE_GIVEBACK_STOP,249.75,999.0,499.5,1.2,498.3,1.24875,341182,119.5,407.25,False,True,54.14211705777691,988.2999999999998,1366.1,377.80000000000007,
95,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2025.09.02 23:30:00,2025.09.03 00:00:00,1756857600043,23632.0,23632.5,23632.5,23432.5,23999.75,200.0,2025.09.05 14:18:49,1757081929778,23999.75,24000.25,23999.75,MFE_GIVEBACK_STOP,367.25,1469.0,734.5,1.2,733.3,1.83625,224329,36.0,567.25,False,True,52.81590212196528,1721.6,1721.6,0.0,
110,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2025.09.05 15:30:00,2025.09.05 16:00:00,1757088000045,23916.25,23917.0,23916.25,24116.25,24116.25,200.0,2025.09.08 13:34:58,1757338498103,24115.75,24116.25,24116.25,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,250498,200.0,31.75,False,False,69.33466653486381,1320.3999999999999,1721.6,401.20000000000005,
125,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2025.09.09 03:00:00,2025.09.09 03:30:02,1757388602324,24134.5,24135.25,24135.25,23935.25,23935.25,200.0,2025.09.10 09:30:00,1757496600014,24186.5,24187.25,24186.5,OPPOSITE_TRIANGLE,51.25,205.0,102.5,1.2,101.3,0.25625,107998,111.0,116.0,False,False,24.02127876041212,1421.6999999999998,1721.6,299.9000000000001,
140,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2025.09.10 09:00:00,2025.09.10 09:30:00,1757496600014,24186.5,24187.25,24186.5,24386.5,24386.5,200.0,2025.09.12 06:00:00,1757656800174,24332.75,24333.5,24333.5,OPPOSITE_TRIANGLE,-147.0,-588.0,-294.0,1.2,-295.2,-0.735,160200,157.75,102.75,False,False,19.2407429295114,1126.4999999999998,1721.6,595.1000000000001,
