trade_id,position_id,run_id,symbol,direction,signal_time,confirmation_time,entry_time,entry_time_msc,entry_bid,entry_ask,entry_price,volume,stop_price,exit_time,exit_time_msc,exit_bid,exit_ask,exit_price,exit_reason,structural_outcome,economic_outcome,deal_profit,commission,swap,net_pnl,calculated_price_pnl,pnl_discrepancy,price_move,ticks_move,r_multiple,duration_seconds,entry_k,entry_d,entry_adaptive_tf,entry_k_len,target_closed_k,target_closed_d,live_exit_k,live_exit_d,mae_points,mfe_points,spread_entry,spread_exit,stop_slippage_points,deal_reason
1,2,SEA2575_AMP_@ENQ_1754006400,@ENQ,BUY,2025.08.01 11:09:22,2025.08.01 11:10:22,2025.08.01 11:10:22,1754046622046,23380.50,23381.25,23381.25,0.1,23281.25,2025.08.01 13:37:00,1754055420881,23280.50,23281.00,23280.50,SL,LOSS,LOSS,-201.5,0.0,0.0,-201.5,-201.5,0.0,-100.75,-403.0,-1.0075,8798,22.407124880116797,20.884367384825655,44,7,0.0,0.0,22.597608821717227,46.35060446441876,100.75,83.75,0.75,0.5,0.75,SL
2,4,SEA2575_AMP_@ENQ_1754006400,@ENQ,SELL,2025.08.04 08:00:00,2025.08.04 08:01:00,2025.08.04 08:01:00,1754294460253,23312.50,23312.75,23312.50,0.1,23412.50,2025.08.04 13:30:15,1754314215448,23410.75,23411.25,23411.25,SL,LOSS,LOSS,-197.5,0.0,0.0,-197.5,-197.5,0.0,-98.75,-395.0,-0.9875,19755,76.53314251236814,78.44004583868583,31,5,0.0,0.0,94.86878838637632,84.48647058470368,98.75,3.5,0.25,0.5,-1.25,SL
3,6,SEA2575_AMP_@ENQ_1754006400,@ENQ,BUY,2025.08.05 08:48:00,2025.08.05 08:49:00,2025.08.05 08:49:00,1754383740034,23628.00,23628.50,23628.50,0.1,23528.50,2025.08.05 10:30:00,1754389800002,23673.50,23674.25,23673.75,TARGET_K80_M30_CLOSE,WIN,PROFIT,90.5,0.0,0.0,90.5,90.5,0.0,45.25,181.0,0.4525,6060,23.956928266939865,23.106114469524925,20,3,82.70399107346839,64.03405772975798,89.53724482698317,79.24804143353772,4.5,51.5,0.5,0.75,0.0,EXPERT
4,8,SEA2575_AMP_@ENQ_1754006400,@ENQ,SELL,2025.08.05 11:00:00,2025.08.05 11:01:00,2025.08.05 11:01:00,1754391660347,23678.00,23678.75,23678.00,0.1,23778.00,2025.08.05 15:30:00,1754407800002,23468.25,23468.75,23468.75,TARGET_K20_M30_CLOSE,WIN,PROFIT,418.5,0.0,0.0,418.5,418.5,0.0,209.25,837.0,2.0925,16140,82.93422617612549,85.08110628219826,17,3,15.747289598761498,28.744914740129115,13.400770146978891,21.477168029265258,24.75,240.25,0.75,0.5,0.0,EXPERT
5,10,SEA2575_AMP_@ENQ_1754006400,@ENQ,BUY,2025.08.06 10:00:00,2025.08.06 10:01:00,2025.08.06 10:01:00,1754474460986,23441.25,23442.00,23442.00,0.1,23342.00,2025.08.06 16:00:00,1754496000036,23665.75,23666.25,23665.75,TARGET_K80_M30_CLOSE,WIN,PROFIT,447.5,0.0,0.0,447.5,447.5,0.0,223.75,895.0,2.2375,21540,12.708899866895166,10.70029005278838,22,4,96.44397231864279,81.32599251451332,96.29487031932052,90.37610572256654,36.75,231.5,0.75,0.5,0.0,EXPERT
6,12,SEA2575_AMP_@ENQ_1754006400,@ENQ,SELL,2025.08.06 19:41:56,2025.08.06 19:42:56,2025.08.06 19:42:56,1754509376065,23723.00,23723.50,23723.00,0.1,23823.00,2025.08.07 05:00:00,1754542800750,23762.50,23763.25,23763.25,TARGET_K20_M30_CLOSE,WIN,LOSS,-80.5,0.0,0.0,-80.5,-80.5,0.0,-40.25,-161.0,-0.4025,33424,78.6201037792166,79.95799750829178,24,4,19.476534861150245,24.164845181085003,11.275476660092044,17.457931272393964,86.5,38.5,0.5,0.75,0.0,EXPERT
7,14,SEA2575_AMP_@ENQ_1754006400,@ENQ,SELL,2025.08.07 09:02:23,2025.08.07 09:03:23,2025.08.07 09:03:23,1754557403097,23839.25,23840.00,23839.25,0.1,23939.25,2025.08.07 13:40:08,1754574008245,23935.75,23936.25,23936.25,SL,LOSS,LOSS,-194.0,0.0,0.0,-194.0,-194.0,0.0,-97.0,-388.0,-0.97,16605,79.86130331117138,80.0314360037964,23,4,0.0,0.0,65.37331119270918,44.78603781472635,98.5,1.25,0.75,0.5,-3.0,SL
8,16,SEA2575_AMP_@ENQ_1754006400,@ENQ,BUY,2025.08.07 18:31:00,2025.08.07 18:32:00,2025.08.07 18:32:00,1754591520064,23652.25,23653.00,23653.00,0.1,23553.00,2025.08.07 22:00:00,1754604000029,23813.50,23817.25,23819.50,TARGET_K80_M30_CLOSE,WIN,PROFIT,333.0,0.0,0.0,333.0,333.0,0.0,166.5,666.0,1.665,12480,15.357159601878193,14.94318221455976,44,7,92.37275014643137,74.72529983483973,81.35465553121445,82.75183994663546,6.5,179.25,0.75,3.75,0.0,EXPERT
9,18,SEA2575_AMP_@ENQ_1754006400,@ENQ,SELL,2025.08.08 15:00:00,2025.08.08 15:01:00,2025.08.08 15:01:00,1754665260014,23953.75,23954.25,23953.75,0.1,24053.75,2025.08.08 20:14:24,1754684064279,24052.50,24053.00,24053.00,SL,LOSS,LOSS,-198.5,0.0,0.0,-198.5,-198.5,0.0,-99.25,-397.0,-0.9925,18804,80.90125063253349,81.8467145925011,38,6,0.0,0.0,77.61290512067781,72.30390035737146,99.5,43.25,0.5,0.5,-0.75,SL
10,20,SEA2575_AMP_@ENQ_1754006400,@ENQ,SELL,2025.08.11 10:30:52,2025.08.11 10:31:52,2025.08.11 10:31:52,1754908312947,24034.50,24035.25,24034.50,0.1,24134.50,2025.08.11 18:00:00,1754935200000,23995.75,23996.00,23996.25,TARGET_K20_M30_CLOSE,WIN,PROFIT,76.5,0.0,0.0,76.5,76.5,0.0,38.25,153.0,0.3825,26888,78.09614590395493,79.13013732966888,16,3,15.315272020984763,41.436547730991585,9.987139997610974,22.07589790300086,68.25,55.0,0.75,0.25,0.0,EXPERT
