year,month,variant,trade_count,winners,losers,net_pnl,profit_factor
2025,9,"KEEPER_SL12_TP36",3,1,2,24.00000000,1.50000000
2025,10,"KEEPER_SL12_TP36",12,7,5,384.00000000,4.20000000
2025,11,"KEEPER_SL12_TP36",59,22,37,696.00000000,1.78378378
2025,12,"KEEPER_SL12_TP36",8,2,6,0.00000000,1.00000000
2026,1,"KEEPER_SL12_TP36",31,6,25,-168.00000000,0.72000000
2026,2,"KEEPER_SL12_TP36",42,20,22,912.00000000,2.72727273
2026,3,"KEEPER_SL12_TP36",101,38,63,1224.00000000,1.80952381
2026,4,"KEEPER_SL12_TP36",31,13,18,504.00000000,2.16666667
2026,5,"KEEPER_SL12_TP36",53,21,32,744.00000000,1.96875000
2026,6,"KEEPER_SL12_TP36",91,28,63,504.00000000,1.33333333
2026,7,"KEEPER_SL12_TP36",137,53,84,1800.00000000,1.89285714
2026,8,"KEEPER_SL12_TP36",53,17,36,360.00000000,1.41666667
