trade_id,variant,side,signal_time,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,lot_size,pnl_points,gross_pnl,commission,fees,net_pnl,pnl_r,mae_points,mfe_points,bars_held,costs_included
"TR000001","KEEPER_SL12_TP36",sell,"2025-09-01T09:56:00+00:00","2025-09-01T09:56:00+00:00",23404.70000000,23416.70000000,23368.70000000,"2025-09-01T10:04:00+00:00",23416.70000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,16.50000000,9.80000000,8,false
"TR000002","KEEPER_SL12_TP36",sell,"2025-09-01T10:06:00+00:00","2025-09-01T10:06:00+00:00",23414.30000000,23426.30000000,23378.30000000,"2025-09-01T10:29:00+00:00",23426.30000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,12.90000000,18.90000000,23,false
"TR000003","KEEPER_SL12_TP36",sell,"2025-09-02T10:32:00+00:00","2025-09-02T10:32:00+00:00",23362.10000000,23374.10000000,23326.10000000,"2025-09-02T10:40:00+00:00",23326.10000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.40000000,39.40000000,8,false
"TR000004","KEEPER_SL12_TP36",sell,"2025-10-13T10:36:00+00:00","2025-10-13T10:36:00+00:00",24749.30000000,24761.30000000,24713.30000000,"2025-10-13T11:00:00+00:00",24713.30000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,4.20000000,36.10000000,24,false
"TR000005","KEEPER_SL12_TP36",sell,"2025-10-14T08:17:00+00:00","2025-10-14T08:17:00+00:00",24629.40000000,24641.40000000,24593.40000000,"2025-10-14T08:32:00+00:00",24593.40000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,7.10000000,38.40000000,15,false
"TR000006","KEEPER_SL12_TP36",sell,"2025-10-14T11:45:00+00:00","2025-10-14T11:45:00+00:00",24499.70000000,24511.70000000,24463.70000000,"2025-10-14T11:49:00+00:00",24463.70000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,39.70000000,4,false
"TR000007","KEEPER_SL12_TP36",sell,"2025-10-14T12:11:00+00:00","2025-10-14T12:11:00+00:00",24520.90000000,24532.90000000,24484.90000000,"2025-10-14T12:18:00+00:00",24484.90000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,36.60000000,7,false
"TR000008","KEEPER_SL12_TP36",sell,"2025-10-16T11:10:00+00:00","2025-10-16T11:10:00+00:00",24868.60000000,24880.60000000,24832.60000000,"2025-10-16T11:14:00+00:00",24880.60000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,14.90000000,9.70000000,4,false
"TR000009","KEEPER_SL12_TP36",sell,"2025-10-16T11:14:00+00:00","2025-10-16T11:14:00+00:00",24877.40000000,24889.40000000,24841.40000000,"2025-10-16T11:28:00+00:00",24841.40000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,6.50000000,36.40000000,14,false
"TR000010","KEEPER_SL12_TP36",sell,"2025-10-17T09:11:00+00:00","2025-10-17T09:11:00+00:00",24509.00000000,24521.00000000,24473.00000000,"2025-10-17T09:21:00+00:00",24473.00000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,40.00000000,10,false
"TR000011","KEEPER_SL12_TP36",sell,"2025-10-17T12:27:00+00:00","2025-10-17T12:27:00+00:00",24371.10000000,24383.10000000,24335.10000000,"2025-10-17T12:36:00+00:00",24383.10000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,15.30000000,28.00000000,9,false
"TR000012","KEEPER_SL12_TP36",sell,"2025-10-17T12:37:00+00:00","2025-10-17T12:37:00+00:00",24377.90000000,24389.90000000,24341.90000000,"2025-10-17T12:41:00+00:00",24341.90000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,9.00000000,40.50000000,4,false
"TR000013","KEEPER_SL12_TP36",sell,"2025-10-30T09:37:00+00:00","2025-10-30T09:37:00+00:00",26097.30000000,26109.30000000,26061.30000000,"2025-10-30T09:48:00+00:00",26109.30000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,14.30000000,15.00000000,11,false
